X,Y,AGEB
-96.7896782499458,16.9710507096828,2002300010036
-96.7896500902723,16.9709237501236,2002300010036
-96.7896607200204,16.970811769937,2002300010036
-96.789676289672,16.9706774000307,2002300010036
-96.7897291999879,16.9705389796663,2002300010036
-96.7898191702249,16.9704233503513,2002300010036
-96.7899321096514,16.9703349096205,2002300010036
-96.7901006300865,16.9702784301296,2002300010036
-96.7902608904552,16.9702408900205,2002300010036
-96.7903974903712,16.970208080264,2002300010036
-96.7905358796631,16.9701830895562,2002300010036
-96.7906761397539,16.9701711201025,2002300010036
-96.7908154901791,16.9701518200859,2002300010036
-96.7909557404654,16.9701398599651,2002300010036
-96.7910511799096,16.9701315700885,2002300010036
-96.7910959798813,16.970127689769,2002300010036
-96.7912353999239,16.9701087802158,2002300010036
-96.7913724496474,16.9700776202777,2002300010036
-96.7916534803349,16.9700948200101,2002300010036
-96.7917923999857,16.9701168595578,2002300010036
-96.7919284802943,16.9701516301015,2002300010036
-96.792039909543,16.9702344602255,2002300010036
-96.7921171400777,16.9703477696063,2002300010036
-96.7921641398562,16.9704755099916,2002300010036
-96.7922044601779,16.970605320279,2002300010036
-96.7922302504019,16.9707385402089,2002300010036
-96.792321889912,16.9708215500251,2002300010036
-96.7923885196326,16.9709201498583,2002300010036
-96.7924759996821,16.970973310213,2002300010036
-96.7926312602587,16.9710272004538,2002300010036
-96.7926503095993,16.9711383403502,2002300010036
-96.7927698502684,16.9713484597416,2002300010036
-96.7927618600352,16.9714527704148,2002300010036
-96.7928038200722,16.9714968601132,2002300010036
-96.7928282299305,16.9715225097691,2002300010036
-96.7928558898616,16.9715815197658,2002300010036
-96.7929165399507,16.971637079735,2002300010036
-96.7929893396621,16.9717077402309,2002300010036
-96.7930309997014,16.9717763701022,2002300010036
-96.793094089549,16.9718315799042,2002300010036
-96.793138259847,16.9718702601617,2002300010036
-96.7932186904369,16.9718316796814,2002300010036
-96.7932761399459,16.9717953201561,2002300010036
-96.793394980178,16.9717200903355,2002300010036
-96.7935226800848,16.9716740602256,2002300010036
-96.7936581400999,16.971649109569,2002300010036
-96.7937875201518,16.9716619497963,2002300010036
-96.7938828004657,16.9717253796622,2002300010036
-96.7939495997398,16.9717835099113,2002300010036
-96.7939848200689,16.9718787098524,2002300010036
-96.7940098001695,16.9719613402572,2002300010036
-96.7940475801538,16.9720590803106,2002300010036
-96.7940384602796,16.9721737504392,2002300010036
-96.7940135997163,16.9723032599774,2002300010036
-96.7940049704446,16.9724390302739,2002300010036
-96.7939608200094,16.9725677103698,2002300010036
-96.7939027697192,16.9726911497509,2002300010036
-96.7938225800545,16.9728396199319,2002300010036
-96.7938335102888,16.9729579998319,2002300010036
-96.7938504302027,16.9730882904208,2002300010036
-96.7939257195476,16.9732218801347,2002300010036
-96.7939960802711,16.9733392495797,2002300010036
-96.7940798199736,16.9734481800321,2002300010036
-96.794185289871,16.9735379502765,2002300010036
-96.7942936003274,16.9736245100302,2002300010036
-96.7943844598448,16.9737280498572,2002300010036
-96.794454490368,16.9738455801648,2002300010036
-96.794523859947,16.9739634902369,2002300010036
-96.7945769098745,16.9740890202622,2002300010036
-96.7946180297527,16.9742186002448,2002300010036
-96.7946365997689,16.9743562301857,2002300010036
-96.7946844800879,16.9744691402547,2002300010036
-96.7947325701081,16.9745642797847,2002300010036
-96.794829310013,16.9747072598582,2002300010036
-96.7949511097712,16.9748091101769,2002300010036
-96.7950301499886,16.9748868504266,2002300010036
-96.7951603203423,16.9749937200452,2002300010036
-96.7952309203,16.9751109702173,2002300010036
-96.7953290901597,16.9752081095778,2002300010036
-96.7954167203045,16.9753141702173,2002300010036
-96.7954944299214,16.9754271702673,2002300010036
-96.7955887202187,16.9755079497409,2002300010036
-96.7956490503336,16.9756091398057,2002300010036
-96.7956964497907,16.9757634196015,2002300010036
-96.7957257403841,16.9758879199,2002300010036
-96.7957365202159,16.9760181499634,2002300010036
-96.7957223497197,16.97617767966,2002300010036
-96.7957070902978,16.976341490058,2002300010036
-96.7957121502627,16.9764769104231,2002300010036
-96.7957033397212,16.9766121497627,2002300010036
-96.7956879703268,16.976746850167,2002300010036
-96.7956805198671,16.976882139799,2002300010036
-96.7957131799913,16.9770139700539,2002300010036
-96.7957550795314,16.9771863102613,2002300010036
-96.7958311196536,16.97725997011,2002300010036
